tool_id,tool_name,vendor_name,tool_type,monthly_cost,active_status
1,Power BI Platform 1,Salesforce,Workflow Automation,13499.24,Pilot
2,ServiceNow Platform 2,OpenAI,Workflow Automation,10375.46,Under Review
3,Databricks Platform 3,Snowflake,LLM Assistant,6818.16,Pilot
4,ChatGPT Platform 4,Salesforce,Help Desk AI,21783.55,Active
5,Gemini Platform 5,UiPath,LLM Assistant,2012.86,Active
6,Slack Platform 6,Meta,Help Desk AI,2283.90,Under Review
7,Zendesk Platform 7,Snowflake,Forecasting,13205.94,Pilot
8,Salesforce Platform 8,Microsoft,Forecasting,17303.66,Retired
9,Gemini Platform 9,Notion,Forecasting,8001.60,Retired
10,Slack Platform 10,Zapier,Content Generation,24722.74,Under Review
11,ServiceNow Platform 11,Google,Forecasting,5939.21,Retired
12,Claude Platform 12,Zendesk,Help Desk AI,19516.06,Retired
13,Watson Platform 13,Atlassian,Content Generation,15760.68,Retired
14,Tableau Platform 14,Atlassian,Documentation,23651.37,Retired
15,ChatGPT Platform 15,Snowflake,LLM Assistant,24430.66,Active
16,Salesforce Platform 16,Salesforce,Content Generation,10334.64,Retired
17,Watson Platform 17,Anthropic,Workflow Automation,14696.39,Under Review
18,Jasper Platform 18,Salesforce,Forecasting,24994.24,Pilot
19,Power BI Platform 19,Notion,Documentation,20888.32,Under Review
20,Copilot Platform 20,Salesforce,Forecasting,16311.47,Under Review
21,Slack Platform 21,Databricks,Content Generation,3489.82,Retired
22,Perplexity Platform 22,Microsoft,Sales Intelligence,13991.60,Retired
23,Claude Platform 23,Databricks,LLM Assistant,1907.64,Pilot
24,Claude Platform 24,UiPath,Analytics,300.40,Retired
25,Slack Platform 25,Meta,Forecasting,3831.16,Pilot
26,Miro Platform 26,Snowflake,Content Generation,10666.45,Pilot
27,Jasper Platform 27,Google,Sales Intelligence,9433.20,Under Review
28,Zendesk Platform 28,Google,Content Generation,12564.94,Pilot
29,ChatGPT Platform 29,OpenAI,Workflow Automation,3115.97,Pilot
30,Jasper Platform 30,Databricks,Analytics,1831.40,Under Review
31,Miro Platform 31,Salesforce,Analytics,3118.96,Pilot
32,Zapier Platform 32,Microsoft,LLM Assistant,23746.53,Under Review
33,Gemini Platform 33,Microsoft,Workflow Automation,23582.20,Retired
34,Notion Platform 34,Databricks,Documentation,12719.13,Pilot
35,Miro Platform 35,IBM,Help Desk AI,24012.68,Under Review
36,Power BI Platform 36,Zendesk,Analytics,1142.29,Retired
37,Salesforce Platform 37,Meta,Documentation,8336.37,Under Review
38,Vertex Platform 38,OpenAI,Documentation,4564.87,Under Review
39,ServiceNow Platform 39,Databricks,Content Generation,23414.42,Retired
40,Vertex Platform 40,Microsoft,LLM Assistant,1907.33,Pilot
41,Gemini Platform 41,Notion,Sales Intelligence,20069.94,Active
42,ChatGPT Platform 42,Salesforce,Content Generation,10112.98,Retired
43,Tableau Platform 43,Notion,LLM Assistant,19221.18,Pilot
44,Perplexity Platform 44,Adobe,Sales Intelligence,15538.13,Retired
45,Perplexity Platform 45,Zendesk,Analytics,8732.12,Active
46,Tableau Platform 46,Adobe,Help Desk AI,24704.36,Under Review
47,Notion Platform 47,Notion,Help Desk AI,20284.83,Retired
48,Perplexity Platform 48,Atlassian,Content Generation,5606.32,Under Review
49,Tableau Platform 49,Anthropic,Documentation,1943.19,Active
50,Salesforce Platform 50,Google,LLM Assistant,15609.26,Under Review
51,Databricks Platform 51,Microsoft,Documentation,1536.44,Under Review
52,Claude Platform 52,Adobe,Forecasting,23785.87,Active
53,Zendesk Platform 53,Microsoft,Workflow Automation,9509.18,Pilot
54,Perplexity Platform 54,Zapier,Help Desk AI,18656.89,Pilot
55,Zapier Platform 55,OpenAI,Analytics,13845.92,Pilot
56,Gemini Platform 56,Snowflake,Forecasting,10969.03,Active
57,Snowflake Platform 57,Atlassian,Forecasting,10801.15,Active
58,Claude Platform 58,Zapier,Documentation,15078.63,Retired
59,Miro Platform 59,Snowflake,LLM Assistant,10994.97,Under Review
60,Slack Platform 60,Databricks,Analytics,7126.86,Retired
61,Slack Platform 61,UiPath,LLM Assistant,24572.07,Under Review
62,Vertex Platform 62,Zendesk,Help Desk AI,6033.24,Under Review
