ticket_id,employee_id,department_id,ticket_date,category,priority_level,status,issue_summary,resolution_time_hours,assigned_team
1,581,423,2025-04-08,Network,High,Escalated,Laptop performance issue,7.95,Networking
2,31,547,2024-01-19,Hardware,Medium,Resolved,Email not syncing to mobile device,66.26,Infrastructure
3,82,378,2024-05-03,Email,Medium,Resolved,Database timeout during report run,23.26,Infrastructure
4,836,993,2025-01-06,Account,High,In Progress,Printer not reachable on floor network,64.08,Data Team
5,472,266,2026-03-27,Account,High,Closed,Software license activation problem,3.98,Security
6,659,989,2024-07-17,Software,High,Closed,Unable to access internal dashboard,49.94,Security
7,350,897,2026-03-26,Software,Medium,Escalated,Software license activation problem,32.89,Data Team
8,410,699,2025-03-16,Security,Medium,In Progress,Software license activation problem,0.74,Applications
9,662,848,2024-03-04,Access,Critical,Closed,Email not syncing to mobile device,58.79,Security
10,65,26,2025-07-03,Security,Medium,Resolved,Unable to access internal dashboard,3.10,Infrastructure
11,877,699,2025-05-10,Software,High,Open,Database timeout during report run,13.82,Security
12,868,969,2025-11-09,Network,Low,Open,Help desk request for new account provisioning,22.03,Data Team
13,811,127,2025-12-09,Network,High,Resolved,VPN connection fails intermittently,35.85,Infrastructure
14,204,125,2024-02-05,Network,Medium,Pending,Email not syncing to mobile device,51.21,Data Team
15,401,181,2026-03-05,Access,High,In Progress,Help desk request for new account provisioning,52.43,Security
16,253,353,2026-03-13,Software,High,Resolved,Email not syncing to mobile device,59.65,Networking
17,219,932,2025-11-30,Network,Low,In Progress,Software license activation problem,16.72,Data Team
18,916,535,2024-07-13,Database,High,Open,Database timeout during report run,26.50,Security
19,711,849,2025-12-08,Network,High,In Progress,Password reset required,16.70,Security
20,520,359,2024-03-30,Access,Medium,Open,Unable to access internal dashboard,39.91,Security
21,524,192,2024-02-16,Printer,High,Open,Shared drive permission issue,58.20,Infrastructure
22,40,102,2025-01-25,Access,Medium,In Progress,Printer not reachable on floor network,7.63,Networking
23,567,228,2026-04-23,Email,High,Closed,Password reset required,50.99,Security
24,813,863,2025-11-13,Printer,Critical,Pending,Shared drive permission issue,61.96,Security
25,206,333,2025-05-04,VPN,High,In Progress,Password reset required,15.50,Infrastructure
26,157,146,2025-12-08,Software,Critical,Resolved,Unable to access internal dashboard,45.88,Data Team
27,260,158,2024-10-26,Security,Medium,Closed,Help desk request for new account provisioning,11.53,Networking
28,647,881,2025-12-02,Software,Low,Pending,Printer not reachable on floor network,4.59,Infrastructure
29,910,633,2026-04-20,Security,Medium,Closed,Unable to access internal dashboard,64.87,Infrastructure
30,810,740,2025-10-12,VPN,High,In Progress,VPN connection fails intermittently,61.64,IT Support
31,57,279,2025-06-28,Printer,High,Escalated,Database timeout during report run,7.97,Infrastructure
32,498,686,2024-01-07,Security,Medium,Resolved,Database timeout during report run,55.71,Networking
33,332,153,2025-07-29,Access,High,Open,Laptop performance issue,55.90,Infrastructure
34,677,59,2025-02-14,Email,High,Closed,Printer not reachable on floor network,16.89,Networking
35,673,375,2025-04-29,Printer,Low,Closed,Database timeout during report run,57.04,IT Support
36,327,258,2025-01-05,Database,Low,In Progress,VPN connection fails intermittently,26.83,Security
37,275,74,2026-01-07,Hardware,Medium,Closed,Email not syncing to mobile device,24.09,Applications
38,584,956,2024-01-18,Hardware,Medium,Escalated,Help desk request for new account provisioning,70.91,Data Team
39,462,561,2024-11-24,VPN,Medium,In Progress,Unable to access internal dashboard,34.62,IT Support
40,141,19,2026-04-10,Account,Low,In Progress,Unable to access internal dashboard,5.59,Networking
41,99,140,2025-05-23,Hardware,Low,Open,Laptop performance issue,41.37,Networking
42,928,970,2025-03-16,Database,Medium,Resolved,Help desk request for new account provisioning,46.78,Security
43,580,978,2024-02-07,Email,Medium,Open,Password reset required,30.98,Security
